,Rank,Major,Early Career Pay,Mid-Career Pay,% High Meaning
685,685,Video Production,48600,73600,36
686,687,International Trade,54100,73400,44
687,688,Horticulture & Agronomy,58900,73200,-
688,688,Missions,45400,73200,-
689,690,General Studies,49600,73100,53
690,690,Health Services Administration,49000,73100,64
691,692,Justice Studies,51500,73000,49
692,693,Culinary Arts,44600,72800,55
693,693,Physical Therapist Assistant Studies,55100,72800,-
694,695,English Teacher Education,48800,72600,56
695,695,Exercise & Sports Science,48000,72600,71
696,695,Health & Exercise Science,46900,72600,66
697,695,Recreation & Leisure Studies,47100,72600,59
698,695,Sports Administration,49700,72600,47
699,700,Graphic Arts,48000,72400,44
700,701,Supervision & Management,48000,72100,60
701,701,Secondary English Teacher Education,49800,72100,62
702,703,Exercise Science,47300,72000,72
703,703,Interior Design & Merchandising,50200,72000,41
704,705,Health & Wellness,45500,71900,69
705,706,Restaurant & Food Service Management,50100,71800,40
706,707,Behavioral Science,49800,71700,60
707,707,Culinary Arts & Food Service Management,48300,71700,48
708,707,Event Management,48200,71700,42
709,707,Theology,49600,71700,68
710,711,Wildlife Management,44500,71600,46
711,712,Health & Physical Education Teaching,44000,71500,62
712,712,Ministry,41500,71500,80
713,712,Mortuary Science,48800,71500,78
714,715,Media Production,49000,71200,35
715,716,Communicative Disorders,53300,71000,71
716,716,Health Services Management,47400,71000,87
717,718,Paralegal Studies,45200,70800,49
718,718,Social Science Teacher Education,51000,70800,-
719,720,Recreation Administration,54200,70600,66
720,720,Rehabilitation Counseling,44100,70600,-
721,722,Audio Production,49800,70500,45
722,722,Radio Broadcasting,51000,70500,39
723,724,Community Health,52500,70300,73
724,725,Drawing,43400,70100,37
725,726,Dance,50600,69900,59
726,727,Music Teacher Education,47700,69800,58
727,728,Gender Studies,51200,69700,55
728,728,Photojournalism,46800,69700,55
729,730,Family & Community Services,48400,69600,77
730,731,Conservation Biology,48100,69500,53
731,731,Drawing & Painting,48900,69500,45
732,733,Organizational Administration,51100,69400,-
733,733,Vocal Performance,48400,69400,62
734,735,Clinical Social Work (CSW),48600,69200,-
735,735,Tourism & Travel,45200,69200,38
736,735,Tourism Management,48900,69200,38
737,738,Wildlife Biology,48200,68900,58
738,739,Teaching English as a Second Language (ESL),48800,68800,67
739,740,Parks & Recreation Management,49000,68700,59
740,741,Social Services,44800,68500,78
741,742,Elementary Special Education,51200,68300,81
742,743,Ceramics,49500,68000,45
743,743,Horticulture,48400,68000,56
744,743,Landscape Design,57100,68000,62
745,746,Rehabilitation Services,41300,67600,74
746,746,Speech & Hearing,51400,67600,72
747,748,Sculpture,44700,67200,48
748,749,Health Promotion,47700,67000,71
749,750,Athletic Training,47700,66900,75
750,751,Family Studies,45000,66800,60
751,752,History Teacher Education,51800,66700,47
752,752,Social Studies Teacher Education,49200,66700,59
753,754,Biblical Studies & Practical Ministries,45400,66600,-
754,755,Communication Sciences & Disorders,49900,66500,75
755,756,Emergency Medical Services (EMS),47300,66300,-
756,757,Deaf Studies,43700,66100,-
757,758,Community Health Education,48600,65800,70
758,759,Musical Theatre,50000,65500,46
759,760,Pastoral Ministry,43500,65200,76
760,761,Bible Studies & Theology,44800,65100,68
761,762,Biblical Studies,47000,65000,71
762,763,Christian Ministry,43000,64500,75
763,764,Human Development & Family Studies,45400,64400,63
764,765,Church Ministries,43600,64300,79
765,766,Community Development,50300,63600,69
766,767,Music Therapy,48500,63500,95
767,768,Voice & Opera,38700,63200,53
768,769,Legal Assistant Studies,42000,63000,39
769,770,Health and Human Services,48800,62900,64
770,771,Home Economics,47700,62800,69
771,772,Special Education,46400,62700,75
772,773,Conflict Resolution,52000,62100,50
773,774,Educational Psychology,45900,61800,-
774,774,Developmental Psychology,42900,61800,-
775,776,Youth Ministry,42800,61700,74
776,777,Therapeutic Recreation,44900,61500,83
777,778,Community & Human Services,48100,61300,79
778,778,Social Work (SW),43300,61300,76
779,780,Elementary Education,45800,60700,68
780,781,Office Administration,43400,60500,67
781,782,Christian Education,45300,60300,84
782,783,Counseling,45100,59600,79
783,783,Human Services (HS),44400,59600,70
784,785,Health & Human Performance,43000,58900,67
785,786,Mental Health Counseling,40600,58500,-
786,786,Middle School Education,47200,58500,76
787,788,Child Development,42200,57900,73
788,789,Recreational Therapy,44900,57200,84
789,790,Early Childhood & Elementary Education,43400,56500,76
790,791,Outdoor Education,42200,55200,51
791,792,Baking & Pastry Arts,42400,54900,38
792,793,Mental Health,42700,52900,76
793,794,Child & Family Studies,41600,52700,73
794,795,Equine Studies,40300,52500,50
795,796,Addictions Counseling,45900,52200,78
796,797,Nonprofit Administration,42800,52100,72
797,798,Early Childhood Education,41700,50600,77
798,799,Metalsmithing,44700,44900,36
